#HMS-PCI Spoke	( 3620)
YMR059W	YLR438W
YMR059W	YOL139C
YMR059W	YMR012W
YMR059W	YLL050C
YMR059W	YBL045C
YMR059W	YDR155C
YMR059W	YJL005W
YMR059W	YGR155W
YMR059W	YPL037C
YMR059W	YML126C
YMR059W	YML008C
YMR059W	YNL135C
YMR059W	YFL022C
YMR059W	YHR183W
YMR059W	YGR256W
YMR059W	YCL035C
YMR059W	YNL014W
YMR059W	YLR027C
YMR059W	YBL015W
YMR059W	YLR304C
YMR059W	YDR085C
YMR059W	YLR109W
YMR059W	YGL105W
YMR059W	YDL192W
YMR059W	YBR039W
YMR059W	YBR009C
YMR059W	YNR008W
YMR059W	YER091C
YMR059W	YER009W
YMR059W	YHR179W
YMR059W	YGR240C
YMR059W	YIL037C
YMR059W	YJL026W
YMR059W	YMR266W
YMR059W	YER043C
YMR059W	YJL080C
YMR059W	YFL045C
YMR059W	YDR023W
YMR059W	YEL026W
YMR059W	YJR104C
YMR059W	YKL081W
YMR059W	YIL078W
YMR059W	YJL138C
YMR059W	YKL210W
YMR059W	YOR332W
YMR059W	YKL080W
YMR059W	YOR230W
YMR059W	YBR025C
YMR059W	YDR453C
YMR059W	YGL245W
YMR059W	YGR086C
YMR059W	YKL056C
YMR059W	YKL067W
YMR059W	YPL004C
YIL061C	YHR044C
YIL061C	YBR247C
YIL061C	YMR319C
YIL061C	YMR290C
YIL061C	YIL070C
YIL061C	YML074C
YIL061C	YBL022C
YIL061C	YHR165C
YIL061C	YJL098W
YIL061C	YKR028W
YIL061C	YDL047W
YIL061C	YNL189W
YIL061C	YLR386W
YKL166C	YGL234W
YKL166C	YLR216C
YKL166C	YPR160W
YKL166C	YGR240C
YKL166C	YGL137W
YKL166C	YHR033W
YKL166C	YHR214W-A
YKL166C	YNL227C
YKL166C	YML001W
YDL025C	YOL139C
YDL025C	YAL049C
YDL025C	YGR016W
YDL025C	YHR009C
YMR106C	YML022W
YMR106C	YDR127W
YMR106C	YEL030W
YMR106C	YHR179W
YMR106C	YER012W
YMR106C	YDR032C
YMR106C	YER094C
YMR106C	YHR008C
YMR106C	YBR126C
YMR106C	YDR128W
YMR106C	YDR453C
YMR106C	YHR033W
YMR106C	YMR226C
YLR238W	YMR319C
YLR238W	YML123C
YLR238W	YMR029C
YNL311C	YGR175C
YNL311C	YDL007W
YNL311C	YOR259C
YNL311C	YDR190C
YNL311C	YLL039C
YNL311C	YNL116W
YDL017W	YDR299W
YDL017W	YJR089W
YDL017W	YEL030W
YDL017W	YGL151W
YDL017W	YLR134W
YDL017W	YGR087C
YDL017W	YDR032C
YDL017W	YNL113W
YDL017W	YPL218W
YDL017W	YGL137W
YDL017W	YOR027W
YDL017W	YDL080C
YDL017W	YBR126C
YDL017W	YLL039C
YDL017W	YLR231C
YDL017W	YLR331C
YDL017W	YLR386W
YOR080W	YPL217C
YOR080W	YLR274W
YOR080W	YDL132W
YOR080W	YLL050C
YOR080W	YPR135W
YOR080W	YDL031W
YOR080W	YHR019C
YOR080W	YBR247C
YOR080W	YBL076C
YOR080W	YNL132W
YOR080W	YNL308C
YOR080W	YKL176C
YOR080W	YBL023C
YOR080W	YEL032W
YOR080W	YPL211W
YOR080W	YHR170W
YOR080W	YOL041C
YOR080W	YML074C
YOR080W	YHR064C
YOR080W	YGL100W
YOR080W	YDR328C
YOR080W	YHR030C
YOR080W	YCL054W
YOR080W	YHR066W
YOR080W	YDR312W
YOR080W	YPR016C
YOR080W	YJL141C
YOR080W	YBL104C
YOR080W	YHR052W
YOR080W	YJL109C
YOR080W	YKL014C
YOR080W	YPL012W
YNL230C	YEL030W
YNL230C	YJL141C
YNL230C	YGR086C
YNL230C	YPL004C
YER020W	YPL036W
YER020W	YGL245W
YDR075W	YIL142W
YDR075W	YJL014W
YDR075W	YHR011W
YDR075W	YHR084W
YDR075W	YDR212W
YDR075W	YBL046W
YDR075W	YHR033W
YDR075W	YNL201C
YDL043C	YDR226W
YDL043C	YMR012W
YDL043C	YDL145C
YDL043C	YPR160W
YDL043C	YPL126W
YDL043C	YLR059C
YDL043C	YGL137W
YDL043C	YLR058C
YDL043C	YNR031C
YDL043C	YDL185W
YDL043C	YPR121W
YDL043C	YGR162W
YDL043C	YMR304W
YDL043C	YGR250C
YDL043C	YLR222C
YHR030C	YDL029W
YHR030C	YJL095W
YHR030C	YLR216C
YHR030C	YHR193C
YHR030C	YGR267C
YHR030C	YBR018C
YHR030C	YHR183W
YHR030C	YNL037C
YHR030C	YLR355C
YHR030C	YBR011C
YHR030C	YHR102W
YHR030C	YLR096W
YHR030C	YKL073W
YHR030C	YIL094C
YHR030C	YPL140C
YHR030C	YNL085W
YHR030C	YHR179W
YHR030C	YGR087C
YHR030C	YGL008C
YHR030C	YPR191W
YHR030C	YDL097C
YHR030C	YDR394W
YHR030C	YNL007C
YHR030C	YPR054W
YHR030C	YJL138C
YHR030C	YDR214W
YHR030C	YGR086C
YHR030C	YLR187W
